strain_id,species,isolate_type,incubation_week,gas_ml_per_g_dm,undegraded_residuals_pct,ivaddm_pct,ivtddm_pct,pf24,microbial_mass_g_per_kg_dm,dmd_pct,ndfd_pct,adfd_pct,adld_pct,hemd_pct,celd_pct,total_vfa_mmol,acetate_c2_pct,propionate_c3_pct,acetate_propionate_ratio,butyrate_c4_pct,valerate_c5_pct,isobutyrate_pct,isovalerate_pct
P1,Pleurotus ostreatus,commercial,0,61.0,30.8,30.7,35.9,3.13,0.025,22.7,82.9,63.8,25.5,19.1,38.2,34.4,72.7,19.0,3.85,7.21,0.14,0.46,0.52
P1,Pleurotus ostreatus,commercial,2,64.7,29.3,30.4,39.4,3.12,0.044,23.4,79.0,67.0,22.4,12.0,44.6,36.0,70.2,20.2,3.54,8.19,0.17,0.56,0.64
P1,Pleurotus ostreatus,commercial,4,78.2,28.2,32.9,41.4,2.61,0.041,24.7,77.7,68.4,23.1,9.32,45.3,34.5,71.5,18.9,3.84,8.06,0.19,0.63,0.67
P1,Pleurotus ostreatus,commercial,6,70.6,31.1,30.4,35.9,2.56,0.026,21.0,81.1,66.4,13.8,14.7,52.6,30.4,73.5,17.5,4.20,7.62,0.18,0.60,0.61
P1,Pleurotus ostreatus,commercial,8,73.1,27.8,37.2,42.7,2.89,0.027,26.2,77.6,68.8,27.1,8.8,41.8,31.1,73.3,17.4,4.22,7.85,0.17,0.59,0.64
P2,Pleurotus pulmonarius,commercial,0,67.7,33.5,31.3,31.8,2.42,0.027,19.3,84.4,64.6,26.6,19.9,38.0,32.0,72.6,19.0,3.84,7.30,0.15,0.48,0.50
P2,Pleurotus pulmonarius,commercial,2,56.4,33.3,22.7,31.0,2.67,0.040,18.1,84.1,66.2,22.0,17.9,44.3,30.8,72.6,18.0,4.05,8.02,0.18,0.58,0.62
P2,Pleurotus pulmonarius,commercial,4,78.8,27.4,35.3,43.8,2.80,0.042,29.3,79.4,69.7,19.3,9.70,50.4,34.1,70.4,20.7,3.41,7.74,0.14,0.48,0.56
P2,Pleurotus pulmonarius,commercial,6,92.1,24.4,44.6,49.7,2.65,0.025,36.2,78.9,72.1,15.3,6.81,56.7,39.4,69.0,22.2,3.11,7.61,0.13,0.45,0.54
P2,Pleurotus pulmonarius,commercial,8,80.3,26.8,45.0,45.4,2.91,0.009,33.0,81.5,77.5,30.9,5.06,46.6,34.4,69.7,21.1,3.31,7.89,0.16,0.52,0.66
P3,Pleurotus ostreatus,wild,0,57.7,33.1,29.4,32.8,3.00,0.020,21.5,85.6,63.9,24.9,21.6,39.1,39.8,75.2,17.0,4.88,6.70,0.15,0.48,0.51
P3,Pleurotus ostreatus,wild,2,53.2,34.5,28.9,30.7,2.90,0.028,18.2,84.7,65.1,21.3,19.6,43.9,39.6,75.2,16.8,5.38,6.88,0.15,0.48,0.50
P3,Pleurotus ostreatus,wild,4,46.3,32.3,27.9,34.9,3.76,0.035,20.8,82.1,72.9,20.3,9.21,52.6,31.3,74.0,17.9,4.15,7.01,0.15,0.48,0.49
P3,Pleurotus ostreatus,wild,6,55.2,31.1,28.4,37.3,3.39,0.044,23.4,81.8,73.3,20.2,8.51,53.1,31.7,72.5,18.9,3.86,7.34,0.17,0.56,0.56
P3,Pleurotus ostreatus,wild,8,59.1,29.4,31.0,40.8,3.48,0.048,25.8,79.8,66.4,18.1,13.4,48.3,33.7,73.6,18.1,4.17,7.07,0.16,0.53,0.55
